#,Name,Address,City,Province,Holes,Data Source,Latitude,Longitude,Phone,Website,Green Fee (ZAR),Google Maps
22,Balkfontein Golf Club,Corner 10th Ave and River Rd,Lejweleputswa,Free State,18,Garmin (SA),-27.403412,26.504478,,,,https://www.google.com/maps/search/?api=1&query=-27.403412%2C26.504478
23,Bank Golf Club,Bank Colliery,Middelburg,Mpumalanga,18,Garmin (SA),-25.970004,29.463658,,,,https://www.google.com/maps/search/?api=1&query=-25.970004%2C29.463658
24,Bankenveld Golf Club,69 Steenberg,Witbank,Mpumalanga,18,Garmin (SA),-25.90506,29.282653,072 076 5890,https://www.bankenveldgolfclub.co.za/contact,,https://www.google.com/maps/search/?api=1&query=-25.90506%2C29.282653
25,Barberton Golf Club,De Villiers Street,Barberton,Mpumalanga,18,Garmin (SA),-25.792336,31.040754,,,,https://www.google.com/maps/search/?api=1&query=-25.792336%2C31.040754
26,Barkly East Golf Course,Elliot Road,Barkly East,Eastern Cape,9,Garmin (SA),-30.970308,27.605021,079 040 6517,,,https://www.google.com/maps/search/?api=1&query=-30.970308%2C27.605021
27,Beachwood Golf Club,"Beachwood Place, (Off Fairway Drive)",Durban North,KwaZulu-Natal,18,Garmin (SA),-29.778253,31.049773,,,,https://www.google.com/maps/search/?api=1&query=-29.778253%2C31.049773
28,Beaufort West Golf Club,North End,Beaufort West,Western Cape,9,Garmin (SA),-32.341936,22.577257,023 414 3050,,,https://www.google.com/maps/search/?api=1&query=-32.341936%2C22.577257
29,Bedford Golf Course,Bourke Street,Bedford,Eastern Cape,9,Garmin (SA),-32.676558,26.096928,0721111430,,,https://www.google.com/maps/search/?api=1&query=-32.676558%2C26.096928
30,Belfast Golf Club,Vermooten Street,Belfast,Mpumalanga,9,Garmin (SA),-25.698631,30.048273,,,,https://www.google.com/maps/search/?api=1&query=-25.698631%2C30.048273
31,Bellville Golf Club,Jip de Jager Drive,Welgemoed,Western Cape,18,Garmin (SA),-33.870614,18.617599,,https://bellvillegolfclub.co.za/contact-us/,,https://www.google.com/maps/search/?api=1&query=-33.870614%2C18.617599
32,Benoni Country Club,"Morris Ave, Morehill",Benoni,Gauteng,18,Garmin (SA),-26.17223,28.342534,+27118495255,http://www.benonicc.co.za,,https://www.google.com/maps/search/?api=1&query=-26.17223%2C28.342534
33,Berg River Golf Club,Vygie Street,Velddrif,Western Cape,9,Garmin (SA),-32.778834,18.162024,,,,https://www.google.com/maps/search/?api=1&query=-32.778834%2C18.162024
34,Bethal Golf Club,Hendrik Joubert Park,Bethal,Mpumalanga,9,Garmin (SA),-26.464198,29.475417,0236355601,,,https://www.google.com/maps/search/?api=1&query=-26.464198%2C29.475417
35,Bethlehem Golf Club,Cnr Golf and Commissioner Streets,Bethlehem,Free State,18,Garmin (SA),-28.225789,28.306502,,,,https://www.google.com/maps/search/?api=1&query=-28.225789%2C28.306502
36,Bethulie Golf Course,15 Boshoff Street,Bethulie,Free State,9,Garmin (SA),-30.496137,25.967388,,,,https://www.google.com/maps/search/?api=1&query=-30.496137%2C25.967388
37,Black Mountain Golf Course,Penge Road,Aggeneys,Northern Cape,18,Garmin (SA),-29.261412,18.823801,,https://www.blackmountaingolf.org/contact,,https://www.google.com/maps/search/?api=1&query=-29.261412%2C18.823801
38,Blair Atholl Golf Club,"R512, Lanseria",Fourways,Gauteng,18,Garmin (SA),-25.906934,27.919317,,https://www.blairatholl.co.za/,,https://www.google.com/maps/search/?api=1&query=-25.906934%2C27.919317
39,Bloemfontein Golf Club,Maselspoort Road,Bloemfontein,Free State,18,Garmin (SA),-29.116216,26.257367,,,,https://www.google.com/maps/search/?api=1&query=-29.116216%2C26.257367
40,Bloemhof Golf Course,Christiana Road,Bloemhof,North West,18,Garmin (SA),-27.652245,25.595505,,,,https://www.google.com/maps/search/?api=1&query=-27.652245%2C25.595505
41,Blue Valley Golf & Country Estate,"Samrand Avenue, Midrand",Centurion,Gauteng,18,Garmin (SA),-25.934755,28.123697,082 964 3267,https://www.bluevalley.co.za/,,https://www.google.com/maps/search/?api=1&query=-25.934755%2C28.123697
42,Bluff National Park Golf Club,"100 Club Avenue, Bluff",Durban,KwaZulu-Natal,18,Garmin (SA),-29.923156,31.013166,076 018 5289,,,https://www.google.com/maps/search/?api=1&query=-29.923156%2C31.013166
43,Blyvooruitzicht Golf Course,6th Avenue,Blyvooruitzicht,Gauteng,18,Garmin (SA),-26.406204,27.392101,0888233248,,,https://www.google.com/maps/search/?api=1&query=-26.406204%2C27.392101
44,Boggomsbaai Golf Club,Albacorn Street,Mossel Bay,Western Cape,18,Garmin (SA),-34.259471,21.905403,,,,https://www.google.com/maps/search/?api=1&query=-34.259471%2C21.905403
45,Bonnievale Golf Course,Voortrekker Road,Bonnievale,Western Cape,18,Garmin (SA),-33.928749,20.100685,023 616 3939,,,https://www.google.com/maps/search/?api=1&query=-33.928749%2C20.100685
46,Bosch Hoek Golf Club,Bosch Hoek Farm,Balgowan,KwaZulu-Natal,18,Garmin (SA),-29.352171,30.096622,076 164 9009,https://boschhoek.co.za/golf-1/,,https://www.google.com/maps/search/?api=1&query=-29.352171%2C30.096622
47,Bothaville Golf Course,Kroonstad Road,Bothaville,Free State,18,Garmin (SA),-27.394667,26.624336,,,,https://www.google.com/maps/search/?api=1&query=-27.394667%2C26.624336
48,Brand Mashie Golf Club,Welkom Mines,Welkom,Free State,9,Garmin (SA),-28.022726,26.770387,,,,https://www.google.com/maps/search/?api=1&query=-28.022726%2C26.770387
49,Brandfort Golf Club,Eeufees Avenue,Brandfort,Free State,9,Garmin (SA),-28.696718,26.469455,0635773290,,,https://www.google.com/maps/search/?api=1&query=-28.696718%2C26.469455
50,Bredasdorp Golf Club,Recreation Street,Bredasdorp,Western Cape,9,Garmin (SA),-34.543462,20.04801,,,,https://www.google.com/maps/search/?api=1&query=-34.543462%2C20.04801
51,Bronkhorstspruit Golf Club,Luiperd Str.,Bronkhorstspruit,Gauteng,18,Garmin (SA),-25.807957,28.724643,,,,https://www.google.com/maps/search/?api=1&query=-25.807957%2C28.724643
52,Bryanston Country Club,Corner Bryanston Drive and Grosvenor Road,Bryanston,Gauteng,18,Garmin (SA),-26.061974,28.012583,+27 11 021-1992,https://www.bryanstoncc.co.za/golf/,,https://www.google.com/maps/search/?api=1&query=-26.061974%2C28.012583
53,Bultfontein Golf Course,Bultfontein Farm,Bultfontein,Free State,9,Garmin (SA),-28.280111,26.133506,,,,https://www.google.com/maps/search/?api=1&query=-28.280111%2C26.133506
54,Burgersdorp Golf Club,Andries Venter Street,Burgersdorp,Eastern Cape,18,Garmin (SA),-30.990071,26.328585,,,,https://www.google.com/maps/search/?api=1&query=-30.990071%2C26.328585
55,Bushman Sands Golf Course,Main Street,Alicedale,Eastern Cape,18,Garmin (SA),-33.315671,26.082156,042 231 8001,,,https://www.google.com/maps/search/?api=1&query=-33.315671%2C26.082156
56,Butterworth Country Club,Stanford Street,Butterworth,Eastern Cape,18,Garmin (SA),-32.32388,28.144462,0637029655,,,https://www.google.com/maps/search/?api=1&query=-32.32388%2C28.144462
57,C.M.R. Golf Course,"300 Spencer Road, Maraisburg",Roodepoort,Gauteng,18,Garmin (SA),-26.18881,27.937267,011 472 8060,,,https://www.google.com/maps/search/?api=1&query=-26.18881%2C27.937267
58,Caledon Golf Club,Ian Toerien Street,Caledon,Western Cape,9,Garmin (SA),-34.235287,19.433699,,,,https://www.google.com/maps/search/?api=1&query=-34.235287%2C19.433699
59,Calvinia Golf Course,Nieuwoudtville Road,Calvinia,Northern Cape,18,Garmin (SA),-31.481558,19.75843,,,,https://www.google.com/maps/search/?api=1&query=-31.481558%2C19.75843
60,Camelot Country Club,"21 Wishart Road, Hillcrest",Durban,KwaZulu-Natal,18,Garmin (SA),-29.761213,30.77113,,,,https://www.google.com/maps/search/?api=1&query=-29.761213%2C30.77113
61,Carnarvon Golf Club,Loxton Rd,Carnarvon,Northern Cape,18,Garmin (SA),-30.972906,22.124316,053 382 3349,,,https://www.google.com/maps/search/?api=1&query=-30.972906%2C22.124316
62,Carolina Golf Course,35 Duvenhage Street,Carolina,Mpumalanga,18,Garmin (SA),-26.067665,30.104397,,,,https://www.google.com/maps/search/?api=1&query=-26.067665%2C30.104397
63,Cathcart Country Club,The Kloof House,Cathcart,Eastern Cape,18,Garmin (SA),-32.291458,27.142646,0345951132,,,https://www.google.com/maps/search/?api=1&query=-32.291458%2C27.142646
64,Cathedral Peak Hotel Golf Club,Winterton,Drakensberg,KwaZulu-Natal,18,Garmin (SA),-28.94383,29.209479,,https://www.cathedralpeak.co.za/discover-more/golf-club/,,https://www.google.com/maps/search/?api=1&query=-28.94383%2C29.209479
65,Cato Ridge Country Club,Chamberlain Street,Cato Ridge,KwaZulu-Natal,18,Garmin (SA),-29.738467,30.591195,,,,https://www.google.com/maps/search/?api=1&query=-29.738467%2C30.591195
66,Centurion Golf Club,John Vorster Avenue,Centurion,Gauteng,18,Garmin (SA),-25.873148,28.204789,+27 12 665-9602,https://centuriongolfestate.online/contact-us/,,https://www.google.com/maps/search/?api=1&query=-25.873148%2C28.204789
67,Centurion Lake Golf Course,200 Kwikkie Crescent,Centurion,Gauteng,9,Garmin (SA),-25.850023,28.181102,+27126650279,https://centuriongolfestate.online/contact-us/,,https://www.google.com/maps/search/?api=1&query=-25.850023%2C28.181102
68,Ceres Golf Club,1 Bergsig Street,Ceres,Western Cape,18,Garmin (SA),-33.375748,19.303593,0958928439,https://ceresgolfclub.com/contact-us/,,https://www.google.com/maps/search/?api=1&query=-33.375748%2C19.303593
69,Champagne Sports Resort,"R600 Winterton, Champagne Valley",Winterton,KwaZulu-Natal,18,Garmin (SA),-29.001632,29.467692,,,,https://www.google.com/maps/search/?api=1&query=-29.001632%2C29.467692
70,Chelsea Mashie Golf Club,"Portion 39 of 25, Chelsea Meadows",Port Elizabeth,Eastern Cape,9,Garmin (SA),-33.976774,25.466945,,,,https://www.google.com/maps/search/?api=1&query=-33.976774%2C25.466945
71,Christiana Golf Club,Jan Kemp Road,Christiana,North West,18,Garmin (SA),-27.900317,25.150752,,,,https://www.google.com/maps/search/?api=1&query=-27.900317%2C25.150752
72,Chrome Golf Club,"Stoffberg Steelport Road, Chrome Club",Steelport,Mpumalanga,18,Garmin (SA),-24.795318,30.166037,,,,https://www.google.com/maps/search/?api=1&query=-24.795318%2C30.166037
73,Citrusdal Golf Club,Oewer Street,Citrusdal,Western Cape,18,Garmin (SA),-32.593538,19.009128,063 119 3631,https://citrusdalgolfclub.co.za/,,https://www.google.com/maps/search/?api=1&query=-32.593538%2C19.009128
74,Clanwilliam Golf Course,Park Street,Clanwilliam,Western Cape,18,Garmin (SA),-32.192036,18.90131,027 482 2918,,,https://www.google.com/maps/search/?api=1&query=-32.192036%2C18.90131
75,Clocolan Golf Club,Andries Pretorius Street,Clocolan,Free State,9,Garmin (SA),-28.917239,27.571376,,,,https://www.google.com/maps/search/?api=1&query=-28.917239%2C27.571376
76,Clovelly Country Club,"177 Clovelly Road, Clovelly",Cape Town,Western Cape,18,Garmin (SA),-34.122665,18.42818,+27 21 784 2111,https://clovellygolfclub.co.za/,,https://www.google.com/maps/search/?api=1&query=-34.122665%2C18.42818
77,Colesberg Golf Club,Off the N1,Colesberg,Northern Cape,9,Garmin (SA),-30.735141,25.08379,,,,https://www.google.com/maps/search/?api=1&query=-30.735141%2C25.08379
78,Correctional Services Golf Course,"Training College, Kroonstad Correctional Services",Kimberley,Northern Cape,6,Garmin (SA),-28.741522,24.71868,012 307 2998,,,https://www.google.com/maps/search/?api=1&query=-28.741522%2C24.71868
79,Cotswold Downs Golf Course,Inanda Road,Hillcrest,KwaZulu-Natal,18,Garmin (SA),-29.756432,30.783134,031 762 3660,https://cotswolddowns.co.za/,,https://www.google.com/maps/search/?api=1&query=-29.756432%2C30.783134
80,Cradock Golf Club,1 Hofmeyer Road,Cradock,Eastern Cape,18,Garmin (SA),-32.149386,25.62207,0647473382,,,https://www.google.com/maps/search/?api=1&query=-32.149386%2C25.62207
81,Creek 9 Golf Course,3 Anton van Wouw Str,Roosevelt Park,Gauteng,9,Garmin (SA),-26.150244,27.990645,,,,https://www.google.com/maps/search/?api=1&query=-26.150244%2C27.990645
82,Creighton Golf Club,School Road,Creighton,KwaZulu-Natal,18,Garmin (SA),-30.025248,29.839057,,,,https://www.google.com/maps/search/?api=1&query=-30.025248%2C29.839057
83,Crown Mines Golf Course,Booysens Reserve Rd,Crown Mines,Gauteng,18,Garmin (SA),-26.234176,27.991507,,,,https://www.google.com/maps/search/?api=1&query=-26.234176%2C27.991507
84,Cullinan Golf Club,Main Road,Cullinan,Gauteng,18,Garmin (SA),-25.670384,28.524669,012 734 0090,https://www.cullinangolfclub.com/,,https://www.google.com/maps/search/?api=1&query=-25.670384%2C28.524669
85,Dainfern Golf and Country Estate,"Dainfern Estate, Cedar Road",Bryanston,Gauteng,18,Garmin (SA),-25.988932,27.997434,+27118750401,https://dainfern.co.za/contact-us/,,https://www.google.com/maps/search/?api=1&query=-25.988932%2C27.997434
86,Darling Golf Course,Jacaranda Street,Darling,Western Cape,18,Garmin (SA),-33.377268,18.388331,022 492 3013,,,https://www.google.com/maps/search/?api=1&query=-33.377268%2C18.388331
87,Darnall Country Club,7 Park Drive,Darnall,KwaZulu-Natal,9,Garmin (SA),-29.266163,31.369357,078 579 6635,,,https://www.google.com/maps/search/?api=1&query=-29.266163%2C31.369357
88,Daveyton Golf Course,Cnr Eislan and Sibeko Street,Daveyton,Gauteng,18,Garmin (SA),-26.127849,28.442852,,,,https://www.google.com/maps/search/?api=1&query=-26.127849%2C28.442852
89,De Aar Golf Club,Witplaas,De Aar,Northern Cape,18,Garmin (SA),-30.668482,23.994852,053 631 3213,,,https://www.google.com/maps/search/?api=1&query=-30.668482%2C23.994852
90,De Hoek Golf Club,Aster Road,De Hoek,Western Cape,18,Garmin (SA),-32.943463,18.760946,022 913 8271,https://dehoek.com/contact-us/,,https://www.google.com/maps/search/?api=1&query=-32.943463%2C18.760946
91,De Zalze Golf Course,"De Zalze Winelands Golf Estate, R44",Stellenbosch,Western Cape,18,Garmin (SA),-33.971337,18.835479,,https://dezalzegolf.com/contact-us/,,https://www.google.com/maps/search/?api=1&query=-33.971337%2C18.835479
92,Delareyville Golf Course,"The Farm, Soutpan",Delareyville,North West,18,Garmin (SA),-26.696842,25.477338,,,,https://www.google.com/maps/search/?api=1&query=-26.696842%2C25.477338
93,Delmas Golf Club,"Van Der Walt Street, Leeuwpoort",Delmas,Mpumalanga,9,Garmin (SA),-26.142257,28.681464,,,,https://www.google.com/maps/search/?api=1&query=-26.142257%2C28.681464
94,Devonvale Golf & Wine Estate,"Bottelry Road, Koelenhof",Stellenbosch,Western Cape,18,Garmin (SA),-33.882582,18.804482,+27218652080,https://devonvaleestate.co.za/,,https://www.google.com/maps/search/?api=1&query=-33.882582%2C18.804482
95,Dewetsdorp Golf Club,Hertzog Street,Dewetsdorp,Free State,9,Garmin (SA),-29.576032,26.664312,+27823775822,,,https://www.google.com/maps/search/?api=1&query=-29.576032%2C26.664312
96,Diepgezet Golf Course,,Ekulindeni,Mpumalanga,9,Garmin (SA),-26.00318,31.07234,,,,https://www.google.com/maps/search/?api=1&query=-26.00318%2C31.07234
97,Dimension Data Mashie Golf Course,Campus - Cnr Main & Sloane,Bryanston,Gauteng,9,Garmin (SA),-26.042178,28.021382,,,,https://www.google.com/maps/search/?api=1&query=-26.042178%2C28.021382
98,Dolphin Creek Golf Estate,"Morrison Ave, Eiland, Groot Brakrivier",Mossel Bay,Western Cape,18,Garmin (SA),-34.049399,22.238688,,,,https://www.google.com/maps/search/?api=1&query=-34.049399%2C22.238688
99,Dordrecht Country Club,Molteno Road,Dordrecht,Eastern Cape,18,Garmin (SA),-31.368048,27.03774,082 596 5822,,,https://www.google.com/maps/search/?api=1&query=-31.368048%2C27.03774
100,Douglas Golf Club,Niekerkhoop Road,Douglas,Northern Cape,18,Garmin (SA),-29.056271,23.760141,053 298 1692,,,https://www.google.com/maps/search/?api=1&query=-29.056271%2C23.760141
101,Drakensberg Gardens Golf Club,Drakensberg Gardens Rd,Underberg,KwaZulu-Natal,18,Garmin (SA),-29.757501,29.226576,079 367 1555,,,https://www.google.com/maps/search/?api=1&query=-29.757501%2C29.226576
102,Drakensig Golf Course,"MEC Sports Club, Drakensig",Hoedspruit,Limpopo,9,Garmin (SA),-24.346517,30.93224,063 847 7691,,,https://www.google.com/maps/search/?api=1&query=-24.346517%2C30.93224
103,Dundee Country Club,1 Tandy Street,Dundee,KwaZulu-Natal,18,Garmin (SA),-28.170061,30.221951,,https://dundeecountryclub.co.za/,,https://www.google.com/maps/search/?api=1&query=-28.170061%2C30.221951
104,Durban Country Club,101 Walter Gilbert Road,Durban,KwaZulu-Natal,18,Garmin (SA),-29.827867,31.034113,+27 31 313 1777,https://durbancountryclub.co.za/,,https://www.google.com/maps/search/?api=1&query=-29.827867%2C31.034113
105,Durban Deep Golf Club,Main Reef Rd,Roodepoort,Gauteng,18,Garmin (SA),-26.173596,27.867594,+27110220824,,,https://www.google.com/maps/search/?api=1&query=-26.173596%2C27.867594
106,Durbanville Golf Club,"Sport Road, Durbanville",Cape Town,Western Cape,18,Garmin (SA),-33.833878,18.65912,021 976 8120,https://durbanvillegolfclub.co.za/,,https://www.google.com/maps/search/?api=1&query=-33.833878%2C18.65912
107,Eagle Canyon Country Club,3 Blueberry Street,Honeydew,Gauteng,18,Garmin (SA),-26.086636,27.923592,+27117952799,https://www.eaglecanyongolfestate.co.za/,,https://www.google.com/maps/search/?api=1&query=-26.086636%2C27.923592
108,East London Golf Club,"22 Gleneagles Road, Bunkers Hill",East London,Eastern Cape,18,Garmin (SA),-32.995861,27.931761,,,,https://www.google.com/maps/search/?api=1&query=-32.995861%2C27.931761
109,Ebotse Golf & Country Estate,"Sarel Cilliers Street, Rynfield",Benoni,Gauteng,18,Garmin (SA),-26.155744,28.351378,+27 87 285 3543,https://ebotselinks.com/contact,,https://www.google.com/maps/search/?api=1&query=-26.155744%2C28.351378
110,Edenburg Golf Club,Jagersfontein Road,Edenburg,Free State,9,Garmin (SA),-29.736214,25.9287,0609882845,,,https://www.google.com/maps/search/?api=1&query=-29.736214%2C25.9287
111,Elements Private Golf Reserve,,Bela Bela,Limpopo,18,Garmin (SA),-24.799393,28.130809,,https://elementspgr.co.za/,,https://www.google.com/maps/search/?api=1&query=-24.799393%2C28.130809
112,Elliot Golf Club,Lloyd Street,Elliot,Eastern Cape,9,Garmin (SA),-31.326241,27.838411,,,,https://www.google.com/maps/search/?api=1&query=-31.326241%2C27.838411
113,Emfuleni Country Club,Emfuleni Drive,Vanderbijlpark,Gauteng,18,Garmin (SA),-26.744049,27.841437,,,,https://www.google.com/maps/search/?api=1&query=-26.744049%2C27.841437
114,Empangeni Country Club,46 Pearce Crescent,Empangeni,KwaZulu-Natal,18,Garmin (SA),-28.746457,31.895885,,,,https://www.google.com/maps/search/?api=1&query=-28.746457%2C31.895885
115,Engineers Golf Club,"Military Base, Reier Laan",Marievale,Gauteng,18,Garmin (SA),-26.345319,28.491327,0341613851,,,https://www.google.com/maps/search/?api=1&query=-26.345319%2C28.491327
116,Erinvale Golf Club,Lourensford Road,Somerset West,Western Cape,18,Garmin (SA),-34.065248,18.883949,+27218471144,https://www.erinvale.com/golf,,https://www.google.com/maps/search/?api=1&query=-34.065248%2C18.883949
117,Ermelo Country Club,Hendrina Road,Ermelo,Mpumalanga,18,Garmin (SA),-26.469753,29.961138,082 375 1335,,,https://www.google.com/maps/search/?api=1&query=-26.469753%2C29.961138
118,ERPM Golf Course,Pretoria Rd,Boksburg West,Gauteng,18,Garmin (SA),-26.197756,28.22796,0699413922,,,https://www.google.com/maps/search/?api=1&query=-26.197756%2C28.22796
119,Eshowe Country Club,Eshowe Country Club,Eshowe,KwaZulu-Natal,18,Garmin (SA),-28.894398,31.475208,0648057061,https://eshowehills.co.za/,,https://www.google.com/maps/search/?api=1&query=-28.894398%2C31.475208
120,Estcourt Golf Club,Louise Street,Estcourt,KwaZulu-Natal,18,Garmin (SA),-29.016609,29.880238,,,,https://www.google.com/maps/search/?api=1&query=-29.016609%2C29.880238
121,Euphoria Golf Estate,R101,Naboomspruit,Limpopo,18,Garmin (SA),-24.547181,28.6441,+2782 076 6275,https://euphoriaestate.co.za/contact/,,https://www.google.com/maps/search/?api=1&query=-24.547181%2C28.6441
122,Excelsior Golf Club,Wesselsstraat,Excelsior,Free State,9,Garmin (SA),-28.932452,27.057889,,,,https://www.google.com/maps/search/?api=1&query=-28.932452%2C27.057889
123,Eye of Africa Golf Estate,33 Cayman Road,Eikenhof,Gauteng,18,Garmin (SA),-26.3623,28.02146,079 555 1090,https://eyeofafrica.co.za/contact-us/,,https://www.google.com/maps/search/?api=1&query=-26.3623%2C28.02146
124,Fairview Golf Estate,14 Pebble Beach Close,Gordon's Bay,Western Cape,18,Garmin (SA),-34.138875,18.865271,021 856 4997,,,https://www.google.com/maps/search/?api=1&query=-34.138875%2C18.865271
125,Fairview Par 3 Golf Course,Old Gravelotte Rd,Tzaneen,Limpopo,18,Garmin (SA),-23.821321,30.171521,015 307 2679,,,https://www.google.com/maps/search/?api=1&query=-23.821321%2C30.171521
126,Fancourt Hotel & Country Club ~ Links,1 Montagu St,George,Western Cape,18,Garmin (SA),-33.969331,22.409119,+27 44 804 0000,https://fancourt.co.za/contact/,,https://www.google.com/maps/search/?api=1&query=-33.969331%2C22.409119
127,Fancourt Hotel & Country Club ~ Montagu,"Montagu Street, Blanco",George,Western Cape,18,Garmin (SA),-33.952665,22.406123,+27 44 804 0000,https://fancourt.co.za/contact/,,https://www.google.com/maps/search/?api=1&query=-33.952665%2C22.406123
128,Fancourt Hotel & Country Club ~ Outeniqua,"Montagu Street, Blanco",George,Western Cape,18,Garmin (SA),-33.951252,22.406659,+27 44 804 0000,https://fancourt.co.za/,,https://www.google.com/maps/search/?api=1&query=-33.951252%2C22.406659
129,Fancourt Hotel & Country Club ~ The Links Experience,Montagu St,George,Western Cape,9,Garmin (SA),-33.962961,22.400596,+27 44 804 0000,https://fancourt.co.za/contact/,,https://www.google.com/maps/search/?api=1&query=-33.962961%2C22.400596
130,Fancourt Hotel & Country Club ~ The Links Experience Par 3,Montagu St,George,Western Cape,9,Garmin (SA),-33.962961,22.400596,+27 44 804 0000,,,https://www.google.com/maps/search/?api=1&query=-33.962961%2C22.400596
131,Ficksburg Golf Course,1 Hill Street,Ficksburg,Free State,18,Garmin (SA),-28.859481,27.888856,0922693460,,,https://www.google.com/maps/search/?api=1&query=-28.859481%2C27.888856
132,Fig Tree Golf Course,Oceanway Rd,East London,Eastern Cape,9,Garmin (SA),-32.94234,27.971881,076 808 1455,,,https://www.google.com/maps/search/?api=1&query=-32.94234%2C27.971881
133,Fish River Sun Country Club,R72,Port Alfred,Eastern Cape,18,Garmin (SA),-33.483611,27.133227,+27406761101,,,https://www.google.com/maps/search/?api=1&query=-33.483611%2C27.133227
134,Fort Beaufort Golf Course,1601 Ralph Street,Fort Beaufort,Eastern Cape,18,Garmin (SA),-32.762837,26.624062,,,,https://www.google.com/maps/search/?api=1&query=-32.762837%2C26.624062
135,Frankfort Golf Course,Brand Street,Frankfort,Free State,9,Garmin (SA),-27.288086,28.495767,,,,https://www.google.com/maps/search/?api=1&query=-27.288086%2C28.495767
